WARD 1,,,
Precinct,Register Voters,Ballots Cast,Turnout %
27,1109,426,38.41%
28,609,280,45.98%
29,1089,279,25.62%
30,767,296,38.59%
31,956,350,36.61%
32,982,372,37.88%
33,1022,354,34.64%
34,1083,390,36.01%
35,923,139,15.06%
36,645,154,23.88%
37,825,271,32.85%
38,623,324,52.01%
39,1387,450,32.44%
40,922,258,27.98%
41,829,300,36.19%
Total,"37,694","13,629",36.16%
,,,
WARD 4,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,1129,463,41.01%
2,985,401,40.71%
3,777,264,33.98%
4,1113,460,41.33%
5,777,372,47.88%
6,945,429,45.40%
7,992,466,46.98%
8,881,389,44.15%
9,823,476,57.84%
10,949,439,46.26%
11,945,303,32.06%
12,1007,363,36.05%
13,1044,280,26.82%
14,860,349,40.58%
15,977,413,42.27%
16,1446,472,32.64%
17,994,428,43.06%
18,864,380,43.98%
19,888,211,23.76%
20,740,364,49.19%
21,1056,338,32.01%
22,803,390,48.57%
23,987,470,47.62%
24,789,324,41.06%
25,891,385,43.21%
26,829,322,38.84%
27,1056,429,40.63%
28,726,299,41.18%
29,851,295,34.67%
30,1267,403,31.81%
31,701,306,43.65%
32,945,374,39.58%
33,869,367,42.23%
34,802,328,40.90%
35,1058,400,37.81%
36,952,396,41.60%
37,1526,512,33.55%
38,821,375,45.68%
Total,"36,065","14,435",40.02%
,,,
WARD 5,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,809,233,28.80%
2,691,192,27.79%
3,838,371,44.27%
4,964,405,42.01%
5,777,288,37.07%
6,704,252,35.80%
7,728,354,48.63%
8,734,377,51.36%
9,822,428,52.07%
10,809,227,28.06%
11,745,392,52.62%
12,665,191,28.72%
13,807,254,31.47%
14,596,302,50.67%
15,702,304,43.30%
16,894,269,30.09%
17,833,277,33.25%
18,680,337,49.56%
19,692,374,54.05%
20,803,409,50.93%
21,736,346,47.01%
22,750,444,59.20%
23,1221,593,48.57%
24,834,372,44.60%
25,742,317,42.72%
26,859,335,39.00%
27,990,342,34.55%
28,868,335,38.59%
29,864,341,39.47%
30,705,210,29.79%
31,752,238,31.65%
32,802,419,52.24%
33,861,347,40.30%
34,789,404,51.20%
35,841,419,49.82%
36,646,193,29.88%
37,809,454,56.12%
38,830,283,34.10%
39,593,301,50.76%
40,639,271,42.41%
41,354,243,68.64%
Total,"31,778","13,443",42.30%
,,,
WARD 6,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,678,312,46.02%
2,692,269,38.87%
3,691,321,46.45%
4,650,196,30.15%
5,702,150,21.37%
6,713,301,42.22%
7,722,217,30.06%
8,689,274,39.77%
9,816,210,25.74%
10,647,154,23.80%
11,719,208,28.93%
12,719,157,21.84%
13,567,205,36.16%
14,754,242,32.10%
15,896,186,20.76%
16,698,308,44.13%
17,693,161,23.23%
18,692,178,25.72%
19,724,240,33.15%
20,639,131,20.50%
21,626,117,18.69%
22,613,148,24.14%
23,576,111,19.27%
24,543,134,24.68%
25,514,115,22.37%
26,711,154,21.66%
27,638,131,20.53%
28,562,126,22.42%
29,665,286,43.01%
30,752,217,28.86%
31,682,278,40.76%
32,695,246,35.40%
33,683,252,36.90%
34,686,265,38.63%
35,620,242,39.03%
36,687,320,46.58%
37,646,307,47.52%
38,701,286,40.80%
39,700,199,28.43%
40,690,232,33.62%
41,686,262,38.19%
42,788,229,29.06%
43,713,223,31.28%
44,784,222,28.32%
45,734,282,38.42%
46,543,174,32.04%
47,590,186,31.53%
48,753,259,34.40%
Total,"32,682","10,423",31.89%
,,,
WARD 7,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,715,237,33.15%
2,845,191,22.60%
3,661,276,41.75%
4,665,252,37.89%
5,660,229,34.70%
6,816,317,38.85%
7,786,198,25.19%
8,655,220,33.59%
9,1078,436,40.45%
10,715,256,35.80%
11,811,218,26.88%
12,798,222,27.82%
13,477,165,34.59%
14,894,249,27.85%
15,652,235,36.04%
16,765,157,20.52%
17,659,169,25.64%
18,731,212,29.00%
19,646,232,35.91%
20,704,149,21.16%
21,640,165,25.78%
22,728,204,28.02%
23,600,268,44.67%
24,656,197,30.03%
25,740,156,21.08%
26,556,200,35.97%
27,631,187,29.64%
28,631,168,26.62%
29,641,188,29.33%
30,668,149,22.31%
31,565,149,26.37%
32,766,371,48.43%
33,751,358,47.67%
34,796,317,39.82%
35,774,245,31.65%
36,752,299,39.76%
37,662,282,42.60%
38,689,209,30.33%
39,644,249,38.66%
40,612,224,36.60%
41,718,226,31.48%
42,662,210,31.72%
43,693,237,34.20%
44,684,179,26.17%
45,868,196,22.58%
46,269,143,53.16%
Total,"32,129","10,396",32.36%
,,,
WARD 8,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,720,227,31.53%
2,800,225,28.13%
3,673,348,51.71%
4,642,317,49.38%
5,662,313,47.28%
6,723,267,36.93%
7,740,320,43.24%
8,622,308,49.52%
9,473,172,36.36%
10,737,391,53.05%
11,602,228,37.87%
12,634,227,35.80%
13,876,274,31.28%
14,675,146,21.63%
15,726,222,30.58%
16,292,66,22.60%
17,532,248,46.62%
18,947,192,20.27%
19,704,335,47.59%
20,734,339,46.19%
21,945,329,34.81%
22,649,248,38.21%
23,746,200,26.81%
24,366,177,48.36%
25,735,227,30.88%
26,793,223,28.12%
27,693,311,44.88%
28,749,268,35.78%
29,821,313,38.12%
30,729,260,35.67%
31,593,187,31.53%
32,568,195,34.33%
33,740,275,37.16%
34,664,262,39.46%
35,724,316,43.65%
36,726,281,38.71%
37,495,234,47.27%
38,541,168,31.05%
39,661,252,38.12%
40,564,202,35.82%
41,773,280,36.22%
42,874,327,37.41%
43,437,147,33.64%
44,489,173,35.38%
45,823,188,22.84%
46,562,209,37.19%
47,604,209,34.60%
48,722,214,29.64%
49,671,237,35.32%
50,712,292,41.01%
51,668,295,44.16%
52,803,350,43.59%
53,402,145,36.07%
54,699,196,28.04%
55,530,239,45.09%
56,685,280,40.88%
Total,"37,470","13,874",37.03%
,,,
WARD 9,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,737,240,32.56%
2,639,209,32.71%
3,806,132,16.38%
4,558,191,34.23%
5,683,245,35.87%
6,676,222,32.84%
7,676,197,29.14%
8,864,195,22.57%
9,719,288,40.06%
10,648,181,27.93%
11,617,171,27.71%
12,745,282,37.85%
13,711,298,41.91%
14,770,315,40.91%
15,1307,163,12.47%
16,662,218,32.93%
17,643,156,24.26%
18,591,168,28.43%
19,665,210,31.58%
20,706,252,35.69%
21,681,220,32.31%
22,685,285,41.61%
23,738,300,40.65%
24,652,260,39.88%
25,644,257,39.91%
26,1038,179,17.24%
27,623,199,31.94%
28,672,97,14.43%
29,779,211,27.09%
30,623,177,28.41%
31,698,174,24.93%
32,722,229,31.72%
33,694,165,23.78%
34,688,188,27.33%
35,628,254,40.45%
36,668,188,28.14%
37,863,381,44.15%
38,733,225,30.70%
39,753,260,34.53%
40,766,286,37.34%
41,582,199,34.19%
42,671,289,43.07%
43,786,201,25.57%
44,592,234,39.53%
45,627,171,27.27%
46,733,245,33.42%
47,687,291,42.36%
48,709,265,37.38%
49,709,283,39.92%
50,801,354,44.19%
51,626,254,40.58%
Total,"36,294","11,654",32.11%
,,,
WARD 10,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,646,216,33.44%
2,717,301,41.98%
3,836,312,37.32%
4,756,167,22.09%
5,704,246,34.94%
6,676,263,38.91%
7,655,197,30.08%
8,606,103,17.00%
9,722,276,38.23%
10,770,313,40.65%
11,1002,298,29.74%
12,575,181,31.48%
13,871,242,27.78%
14,943,370,39.24%
15,1350,470,34.81%
16,696,189,27.16%
17,929,369,39.72%
18,588,132,22.45%
19,786,318,40.46%
20,806,299,37.10%
21,836,260,31.10%
22,567,126,22.22%
23,745,216,28.99%
24,700,278,39.71%
25,242,79,32.64%
26,789,170,21.55%
27,974,164,16.84%
28,907,306,33.74%
29,785,221,28.15%
30,801,220,27.47%
31,741,167,22.54%
32,789,277,35.11%
33,671,184,27.42%
34,715,159,22.24%
35,762,375,49.21%
36,225,68,30.22%
Total,"26,883","8,532",31.74%
,,,
WARD 11,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,916,332,36.24%
2,366,17,4.64%
3,740,256,34.59%
4,788,257,32.61%
5,1177,366,31.10%
6,1128,404,35.82%
7,965,242,25.08%
8,928,296,31.90%
9,859,266,30.97%
10,951,313,32.91%
11,913,308,33.73%
12,1091,522,47.85%
13,1016,433,42.62%
14,622,211,33.92%
15,376,141,37.50%
16,713,225,31.56%
17,926,376,40.60%
18,801,280,34.96%
19,1070,394,36.82%
20,612,239,39.05%
21,915,486,53.11%
22,1075,403,37.49%
23,442,220,49.77%
24,781,454,58.13%
25,905,412,45.52%
26,899,415,46.16%
27,487,110,22.59%
28,466,143,30.69%
29,862,439,50.93%
30,628,156,24.84%
31,796,357,44.85%
32,371,190,51.21%
33,870,337,38.74%
34,335,156,46.57%
35,225,113,50.22%
36,447,132,29.53%
37,365,101,27.67%
38,473,138,29.18%
Total,"28,300","10,640",37.60%
,,,
WARD 12,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,755,311,41.19%
2,741,221,29.82%
3,923,393,42.58%
4,802,299,37.28%
5,796,327,41.08%
6,971,303,31.20%
7,879,226,25.71%
8,930,359,38.60%
9,734,259,35.29%
10,972,250,25.72%
11,920,240,26.09%
12,969,243,25.08%
13,930,270,29.03%
14,859,186,21.65%
15,881,225,25.54%
16,933,190,20.36%
17,926,270,29.16%
18,922,222,24.08%
19,820,266,32.44%
20,1077,247,22.93%
21,895,256,28.60%
22,934,190,20.34%
23,818,301,36.80%
Total,"20,387","6,054",29.70%
,,,
WARD 13,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,512,260,50.78%
2,465,258,55.48%
3,544,196,36.03%
4,661,308,46.60%
5,738,293,39.70%
6,507,309,60.95%
7,523,183,34.99%
8,467,214,45.82%
9,664,234,35.24%
10,474,300,63.29%
11,624,326,52.24%
12,623,220,35.31%
13,570,268,47.02%
14,652,216,33.13%
15,815,343,42.09%
16,490,150,30.61%
17,563,249,44.23%
18,504,248,49.21%
19,825,282,34.18%
20,402,202,50.25%
21,632,374,59.18%
22,635,335,52.76%
23,526,175,33.27%
24,593,251,42.33%
25,637,221,34.69%
26,683,246,36.02%
27,569,270,47.45%
28,526,174,33.08%
29,503,206,40.95%
30,486,187,38.48%
31,652,344,52.76%
32,505,284,56.24%
33,531,316,59.51%
34,712,289,40.59%
35,557,250,44.88%
36,421,150,35.63%
37,676,296,43.79%
38,487,276,56.67%
39,608,252,41.45%
40,625,250,40.00%
41,716,264,36.87%
42,592,341,57.60%
43,593,259,43.68%
44,630,368,58.41%
45,676,378,55.92%
46,772,311,40.28%
47,712,289,40.59%
48,477,287,60.17%
Total,"28,355","12,702",44.80%
,,,
WARD 14,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,722,450,62.33%
2,967,352,36.40%
3,804,214,26.62%
4,661,344,52.04%
5,1142,326,28.55%
6,384,121,31.51%
7,945,265,28.04%
8,905,274,30.28%
9,794,383,48.24%
10,558,161,28.85%
11,464,161,34.70%
12,779,267,34.27%
13,689,239,34.69%
14,715,249,34.83%
15,825,246,29.82%
16,597,195,32.66%
17,653,211,32.31%
18,319,125,39.18%
19,710,219,30.85%
20,619,142,22.94%
21,726,220,30.30%
22,1002,337,33.63%
23,617,222,35.98%
24,727,395,54.33%
25,483,140,28.99%
26,571,165,28.90%
27,749,270,36.05%
28,607,178,29.32%
29,626,221,35.30%
30,492,125,25.41%
31,438,119,27.17%
Total,"21,290","7,336",34.46%
,,,
WARD 15,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,858,258,30.07%
2,553,160,28.93%
3,585,165,28.21%
4,881,239,27.13%
5,919,236,25.68%
6,919,249,27.09%
7,604,160,26.49%
8,813,219,26.94%
9,1072,322,30.04%
10,1089,342,31.40%
11,985,263,26.70%
12,949,293,30.87%
13,920,216,23.48%
14,881,198,22.47%
15,828,216,26.09%
16,912,258,28.29%
17,646,197,30.50%
18,585,148,25.30%
19,802,236,29.43%
20,651,174,26.73%
21,535,143,26.73%
22,731,184,25.17%
23,651,169,25.96%
24,620,147,23.71%
Total,"18,989","5,192",27.34%
,,,
WARD 16,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,958,213,22.23%
2,762,185,24.28%
3,653,138,21.13%
4,771,162,21.01%
5,678,123,18.14%
6,674,177,26.26%
7,708,166,23.45%
8,570,106,18.60%
9,720,178,24.72%
10,667,164,24.59%
11,766,138,18.02%
12,700,134,19.14%
13,779,129,16.56%
14,590,133,22.54%
15,703,191,27.17%
16,628,186,29.62%
17,904,127,14.05%
18,761,186,24.44%
19,671,155,23.10%
20,555,141,25.41%
21,693,158,22.80%
22,690,145,21.01%
23,898,143,15.92%
24,384,106,27.60%
25,740,222,30.00%
26,610,166,27.21%
27,627,144,22.97%
28,573,195,34.03%
29,685,145,21.17%
30,589,146,24.79%
31,634,190,29.97%
32,842,174,20.67%
33,631,153,24.25%
34,622,166,26.69%
35,951,199,20.93%
36,495,145,29.29%
Total,"24,882","5,729",23.02%
,,,
WARD 17,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,739,189,25.58%
2,761,198,26.02%
3,788,220,27.92%
4,797,278,34.88%
5,587,174,29.64%
6,804,158,19.65%
7,824,140,16.99%
8,714,152,21.29%
9,575,173,30.09%
10,888,302,34.01%
11,591,164,27.75%
12,962,237,24.64%
13,711,204,28.69%
14,870,229,26.32%
15,806,222,27.54%
16,818,173,21.15%
17,791,195,24.65%
18,734,251,34.20%
19,601,107,17.80%
20,780,279,35.77%
21,744,342,45.97%
22,718,177,24.65%
23,555,123,22.16%
24,751,268,35.69%
25,648,147,22.69%
26,829,241,29.07%
27,758,208,27.44%
28,578,173,29.93%
29,695,227,32.66%
30,724,139,19.20%
31,609,127,20.85%
32,670,157,23.43%
33,616,131,21.27%
34,655,153,23.36%
35,654,153,23.39%
36,681,215,31.57%
37,666,191,28.68%
38,858,200,23.31%
39,683,218,31.92%
40,721,235,32.59%
41,773,276,35.71%
Total,"29,727","8,146",27.40%
,,,
WARD 18,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,653,205,31.39%
2,755,180,23.84%
3,624,227,36.38%
4,670,307,45.82%
5,543,147,27.07%
6,585,237,40.51%
7,767,237,30.90%
8,661,288,43.57%
9,593,269,45.36%
10,761,372,48.88%
11,629,200,31.80%
12,647,277,42.81%
13,688,268,38.95%
14,676,276,40.83%
15,822,240,29.20%
16,628,233,37.10%
17,735,221,30.07%
18,560,255,45.54%
19,643,259,40.28%
20,547,194,35.47%
21,749,353,47.13%
22,701,329,46.93%
23,702,234,33.33%
24,748,209,27.94%
25,711,245,34.46%
26,689,325,47.17%
27,622,175,28.14%
28,696,262,37.64%
29,747,244,32.66%
30,844,253,29.98%
31,718,266,37.05%
32,664,264,39.76%
33,603,205,34.00%
34,681,351,51.54%
35,670,329,49.10%
36,714,242,33.89%
37,710,314,44.23%
38,643,245,38.10%
39,782,158,20.20%
40,755,259,34.30%
41,698,334,47.85%
42,671,187,27.87%
43,599,174,29.05%
44,677,247,36.48%
45,747,211,28.25%
46,782,254,32.48%
47,566,156,27.56%
48,588,181,30.78%
49,562,142,25.27%
50,640,176,27.50%
Total,"33,866","12,216",36.07%
,,,
WARD 19,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,574,403,70.21%
2,802,493,61.47%
3,518,316,61.00%
4,764,450,58.90%
5,660,405,61.36%
6,709,409,57.69%
7,593,343,57.84%
8,768,441,57.42%
9,476,310,65.13%
10,727,430,59.15%
11,672,387,57.59%
12,560,340,60.71%
13,747,381,51.00%
14,753,398,52.86%
15,888,490,55.18%
16,685,414,60.44%
17,569,366,64.32%
18,557,358,64.27%
19,774,473,61.11%
20,565,319,56.46%
21,731,371,50.75%
22,649,430,66.26%
23,655,407,62.14%
24,466,313,67.17%
25,606,382,63.04%
26,632,395,62.50%
27,626,333,53.19%
28,731,349,47.74%
29,764,373,48.82%
30,634,344,54.26%
31,554,357,64.44%
32,584,365,62.50%
33,696,393,56.47%
34,547,363,66.36%
35,545,363,66.61%
36,887,417,47.01%
37,597,358,59.97%
38,605,305,50.41%
39,303,85,28.05%
40,660,362,54.85%
41,652,357,54.75%
42,493,286,58.01%
43,922,409,44.36%
44,768,322,41.93%
45,665,414,62.26%
46,642,433,67.45%
47,888,510,57.43%
48,904,315,34.85%
49,734,410,55.86%
50,592,320,54.05%
51,687,459,66.81%
52,807,414,51.30%
53,592,376,63.51%
54,581,333,57.31%
55,590,326,55.25%
56,610,404,66.23%
57,493,296,60.04%
Total,"37,453","21,375",57.07%
,,,
WARD 20,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,701,279,39.80%
2,401,122,30.42%
3,662,210,31.72%
4,504,102,20.24%
5,895,279,31.17%
6,471,110,23.35%
7,928,230,24.78%
8,697,235,33.72%
9,865,390,45.09%
10,619,161,26.01%
11,956,298,31.17%
12,687,161,23.44%
13,910,288,31.65%
14,350,154,44.00%
15,1030,163,15.83%
16,745,274,36.78%
17,711,135,18.99%
18,602,168,27.91%
19,816,241,29.53%
20,740,143,19.32%
21,738,149,20.19%
22,778,338,43.44%
23,879,235,26.73%
24,749,295,39.39%
25,675,180,26.67%
26,687,292,42.50%
27,471,125,26.54%
28,517,147,28.43%
29,835,339,40.60%
30,404,115,28.47%
31,907,270,29.77%
32,806,214,26.55%
33,491,146,29.74%
34,835,373,44.67%
35,890,140,15.73%
36,300,70,23.33%
37,273,71,26.01%
38,335,83,24.78%
39,64,19,29.69%
Total,"25,924","7,744",29.87%
,,,
WARD 21,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,735,285,38.78%
2,621,155,24.96%
3,772,274,35.49%
4,770,223,28.96%
5,718,301,41.92%
6,651,186,28.57%
7,637,279,43.80%
8,697,245,35.15%
9,684,300,43.86%
10,660,204,30.91%
11,700,211,30.14%
12,688,228,33.14%
13,766,232,30.29%
14,779,271,34.79%
15,679,210,30.93%
16,686,221,32.22%
17,711,195,27.43%
18,733,279,38.06%
19,745,242,32.48%
20,668,204,30.54%
21,634,194,30.60%
22,656,223,33.99%
23,656,224,34.15%
24,721,251,34.81%
25,617,228,36.95%
26,822,204,24.82%
27,712,252,35.39%
28,907,279,30.76%
29,768,288,37.50%
30,668,192,28.74%
31,453,207,45.70%
32,694,244,35.16%
33,683,213,31.19%
34,740,218,29.46%
35,762,307,40.29%
36,676,231,34.17%
37,581,211,36.32%
38,766,215,28.07%
39,643,196,30.48%
40,642,237,36.92%
41,683,260,38.07%
42,760,269,35.39%
43,740,235,31.76%
44,746,246,32.98%
45,699,203,29.04%
46,735,270,36.73%
47,706,226,32.01%
48,728,232,31.87%
49,733,281,38.34%
50,618,192,31.07%
51,676,255,37.72%
52,707,242,34.23%
53,562,206,36.65%
54,644,224,34.78%
Total,"37,638","12,700",33.74%
,,,
WARD 22,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,411,132,32.12%
2,828,288,34.78%
3,1166,274,23.50%
4,758,165,21.77%
5,869,195,22.44%
6,821,193,23.51%
7,598,147,24.58%
8,942,315,33.44%
9,761,157,20.63%
10,1044,265,25.38%
11,842,163,19.36%
12,681,221,32.45%
13,885,183,20.68%
14,806,176,21.84%
15,700,154,22.00%
16,662,163,24.62%
17,957,220,22.99%
18,853,174,20.40%
19,416,87,20.91%
20,811,169,20.84%
21,839,230,27.41%
22,902,193,21.40%
23,876,301,34.36%
24,1025,244,23.80%
25,851,197,23.15%
Total,"20,304","5,006",24.66%
,,,
WARD 23,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,585,304,51.97%
2,681,278,40.82%
3,582,293,50.34%
4,667,336,50.37%
5,733,223,30.42%
6,756,250,33.07%
7,641,180,28.08%
8,824,263,31.92%
9,641,166,25.90%
10,792,239,30.18%
11,805,223,27.70%
12,595,293,49.24%
13,685,153,22.34%
14,593,264,44.52%
15,667,177,26.54%
16,587,319,54.34%
17,653,120,18.38%
18,588,238,40.48%
19,665,148,22.26%
20,592,122,20.61%
21,599,314,52.42%
22,674,271,40.21%
23,586,273,46.59%
24,637,166,26.06%
25,739,169,22.87%
26,695,249,35.83%
27,537,288,53.63%
28,667,294,44.08%
29,529,256,48.39%
30,837,253,30.23%
31,611,163,26.68%
32,714,210,29.41%
33,780,200,25.64%
34,787,165,20.97%
35,534,210,39.33%
36,619,313,50.57%
37,628,336,53.50%
38,565,251,44.42%
39,727,205,28.20%
Total,"25,797","9,175",35.57%
,,,
WARD 24,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,718,160,22.28%
2,745,169,22.68%
3,819,189,23.08%
4,569,125,21.97%
5,456,100,21.93%
6,714,217,30.39%
7,482,119,24.69%
8,412,93,22.57%
9,765,157,20.52%
10,344,85,24.71%
11,877,202,23.03%
12,480,116,24.17%
13,463,91,19.65%
14,712,155,21.77%
15,457,100,21.88%
16,1101,337,30.61%
17,631,140,22.19%
18,714,166,23.25%
19,804,243,30.22%
20,628,132,21.02%
21,388,79,20.36%
22,906,209,23.07%
23,705,130,18.44%
24,920,187,20.33%
25,640,150,23.44%
26,914,289,31.62%
27,1103,205,18.59%
28,499,140,28.06%
29,505,153,30.30%
30,406,101,24.88%
31,836,217,25.96%
32,381,79,20.73%
33,516,115,22.29%
34,693,179,25.83%
35,603,159,26.37%
36,839,230,27.41%
37,438,106,24.20%
38,495,171,34.55%
39,750,228,30.40%
40,965,198,20.52%
41,488,148,30.33%
Total,"26,881","6,569",24.44%
,,,
WARD 25,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,728,290,39.84%
2,898,330,36.75%
3,1154,323,27.99%
4,811,273,33.66%
5,903,379,41.97%
6,652,130,19.94%
7,894,335,37.47%
8,954,355,37.21%
9,925,307,33.19%
10,1120,332,29.64%
11,1000,322,32.20%
12,768,328,42.71%
13,970,352,36.29%
14,848,223,26.30%
15,840,290,34.52%
16,1159,346,29.85%
17,867,383,44.18%
18,913,367,40.20%
19,984,352,35.77%
20,757,195,25.76%
21,1343,412,30.68%
22,872,288,33.03%
23,886,385,43.45%
24,930,378,40.65%
25,840,315,37.50%
26,836,308,36.84%
27,1119,252,22.52%
28,827,328,39.66%
29,718,279,38.86%
30,898,313,34.86%
31,1435,363,25.30%
32,831,283,34.06%
Total,"29,680","10,116",34.08%
,,,
WARD 26,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,686,229,33.38%
2,646,231,35.76%
3,721,233,32.32%
4,609,149,24.47%
5,627,194,30.94%
6,740,201,27.16%
7,587,215,36.63%
8,459,110,23.97%
9,661,184,27.84%
10,614,177,28.83%
11,661,216,32.68%
12,711,238,33.47%
13,498,118,23.69%
14,579,167,28.84%
15,531,114,21.47%
16,517,97,18.76%
17,487,205,42.09%
18,596,166,27.85%
19,546,130,23.81%
20,582,218,37.46%
21,880,250,28.41%
22,554,93,16.79%
23,496,140,28.23%
24,667,193,28.94%
25,590,214,36.27%
26,532,143,26.88%
27,789,303,38.40%
28,762,344,45.14%
29,434,129,29.72%
30,493,181,36.71%
31,391,99,25.32%
32,686,266,38.78%
33,707,253,35.79%
34,714,292,40.90%
35,644,237,36.80%
36,636,231,36.32%
37,698,215,30.80%
38,397,98,24.69%
39,684,235,34.36%
40,487,151,31.01%
41,757,220,29.06%
42,540,170,31.48%
43,500,129,25.80%
44,495,131,26.46%
45,467,97,20.77%
46,431,169,39.21%
47,549,120,21.86%
48,606,191,31.52%
49,494,99,20.04%
Total,"29,138","8,985",30.84%
,,,
WARD 27,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,1352,382,28.25%
2,759,270,35.57%
3,577,138,23.92%
4,460,134,29.13%
5,842,190,22.57%
6,930,229,24.62%
7,949,320,33.72%
8,814,156,19.16%
9,373,130,34.85%
10,873,332,38.03%
11,919,274,29.82%
12,489,173,35.38%
13,993,360,36.25%
14,498,94,18.88%
15,577,116,20.10%
16,1145,209,18.25%
17,759,221,29.12%
18,592,161,27.20%
19,622,100,16.08%
20,659,131,19.88%
21,687,247,35.95%
22,561,112,19.96%
23,618,185,29.94%
24,793,133,16.77%
25,689,237,34.40%
26,593,211,35.58%
27,994,258,25.96%
28,708,188,26.55%
29,695,139,20.00%
30,411,118,28.71%
31,722,181,25.07%
32,675,228,33.78%
33,806,238,29.53%
34,641,195,30.42%
35,823,264,32.08%
36,601,183,30.45%
37,841,320,38.05%
38,971,311,32.03%
39,532,203,38.16%
40,1010,289,28.61%
41,713,241,33.80%
42,455,174,38.24%
43,520,139,26.73%
44,699,154,22.03%
45,1524,380,24.93%
46,541,199,36.78%
47,519,215,41.43%
48,1435,348,24.25%
49,665,174,26.17%
50,774,219,28.29%
Total,"37,398","10,603",28.35%
,,,
WARD 28,,,
Precinct,Register Voters,Ballots Cast,Turnout %
18,493,154,31.24%
19,553,190,34.36%
20,629,185,29.41%
21,630,147,23.33%
22,575,176,30.61%
23,964,207,21.47%
24,684,166,24.27%
25,912,257,28.18%
26,846,178,21.04%
27,569,228,40.07%
28,692,277,40.03%
29,1245,90,7.23%
